index,activity_name,commands(0..n)
0,UploadToBlob,0
1,ListBlobs,1
2,DownloadFromBlob,2
3,CreateVirtualMachine,3
4,AddExtension,4
5,LoginIdentity,5
6,CreateUserAssignedIdentity,6
7,CreateWindowsVM
8,CreateRoleAssignment,7
9,LoginWithSpecifiedIdentity,8
10,ListKeyvaults,9
11,ListSecrets,10
12,SetKeyvaultPolicy,11
13,ShowSecret,12
14,ListStorageAccounts,13
15,ListStorageAccountKeys,14
16,ListVirtualMachines,15
17,EnumerateLinuxUsers,16
18,ListLinuxUserGroups,17
19,UpdateVMAccountCredentials,18
20,ListNetworkSecurityGroup,19
21,EnumerateWindowsUsers,20
22,CreateWindowsUser,21
23,MakeWindowsUserAdmin,22
24,CreateRDPEnablingNSG,23
25,UploadToBlob,0
26,ListBlobs,1
27,DownloadFromBlob,2
28,DeleteResourceGroup,24
29,CreateResourceGroup,25
30,EnableSystemManagedIdentity,26
31,DisableSystemAssignedIdentityLeaveUserAssigned,27
32,RemoveAllIdentities,28
33,CreateUserAssignedIdentity,29
34,UnassignUserAssignedIdentity,30
35,UploadToBlob,0
36,ListBlobs,1
37,DownloadFromBlob,2
38,LoginServicePrincipal,31
39,CreateOwnerServicePrincipal,32
40,UploadToBlob,0
41,ListBlobs,1
42,DownloadFromBlob,2
43,UploadToBlob,0
44,ListBlobs,1
45,DownloadFromBlob,2
